スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
スケールアウト	scale|out	S_K_EY1_L|AW1_T
トラベルバブル	travel|bubble	T_R_AE1_V_AH0_L|B_AH1_B_AH0_L
テックエド	tech|ed	T_EH1_K|EH1_D
サイキック	psychic	S_AY1_K_IH0_K
インターコンチネンタル	intercontinental	IH2_N_T_ER0_K_AA2_N_T_AH0_N_EH1_N_T_AH0_L
バイアル	vial	V_AY1_AH0_L
ファイルディスクリプタ	file|descriptor	F_AY1_L|D_IH0_S_K_R_IH1_P_T_ER2
ミネルバ	minerva	M_AH0_N_ER1_V_AH0
ウォークライ	war|cry	W_AO1_R|K_R_AY1
ボールダー	boulder	B_OW1_L_D_ER0
エアクッション	air|cushion	EH1_R|K_UH1_SH_AH0_N
ゼロサプレス	zero|suppress	Z_IY1_R_OW0|S_AH0_P_R_EH1_S
ディレクトリエントリ	directory|entry	D_ER0_EH1_K_T_ER0_IY0|EH1_N_T_R_IY0
ソレイユ	soleil	S_OW0_L_EY1_L
グラフィックスコプロセッサ	graphics|coprocessor	G_R_AE1_F_IH0_K_S|K_OW1_P_R_AA1_S_EH0_S_ER0
ファンシーボール	fancy|ball	F_AE1_N_S_IY0|B_AO1_L
チームゲーム	team|game	T_IY1_M|G_EY1_M
コロキュアル	colloquial	K_AH0_L_OW1_K_W_IY0_AH0_L
バッジシステム	badge|system	B_AE1_JH|S_IH1_S_T_AH0_M
エンドツエンド	end|to|end	EH1_N_D|T_UW1|EH1_N_D
イレヴン	eleven	IH0_L_EH1_V_AH0_N
パマス	pumice	P_AH1_M_AH0_S
エバネッセント	evanescent	EH2_V_AH0_N_EH1_S_AH0_N_T
ジンセン	ginseng	JH_IH1_N_S_EH2_NG
ワインリスト	wine|list	W_AY1_N|L_IH1_S_T
ポージング	posing	P_OW1_Z_IH0_NG
グラフィックス	graphics	G_R_AE1_F_IH0_K_S
タイムコード	time|code	T_AY1_M|K_OW1_D
フリーウエイト	free|weight	F_R_IY1|W_EY1_T
ポトラッチ	potlatch	P_AA1_T_L_AE2_CH
リゲル	rigel	R_AY1_JH_AH0_L
ニューレフト	new|left	N_UW1|L_EH1_F_T
キーディスク	key|disk	K_IY1|D_IH1_S_K
タブレットボタン	tablet|button	T_AE1_B_L_AH0_T|B_AH1_T_AH0_N
フォックストロット	foxtrot	F_AA1_K_S_T_R_AA0_T
ラベルセット	label|set	L_EY1_B_AH0_L|S_EH1_T
ムーチョ	mucho	M_UW1_CH_OW0
イレギュラーバウンド	irregular|bound	IH2_R_EH1_G_Y_AH0_L_ER0|B_AW1_N_D
カント	kant	K_AE1_N_T
ブロックバッファリング	block|buffering	B_L_AA1_K|B_AH1_F_ER0_IH0_NG
ヒップホップ	hip|hop	HH_IH1_P|HH_AA1_P
フルスクラッチ	full|scratch	F_UH1_L|S_K_R_AE1_CH
リプレゼンテーション	representation	R_EH2_P_R_AH0_Z_EH0_N_T_EY1_SH_AH0_N
レオ	leo	L_IY1_OW0
ベンディングマシン	vending|machine	V_EH1_N_D_IH0_NG|M_AH0_SH_IY1_N
シリカ	silica	S_IH1_L_AH0_K_AH0
シャドーピッチング	shadow|pitching	SH_AE1_D_OW2|P_IH1_CH_IH0_NG
ファイアサラマンダー	fire|salamander	F_AY1_ER0|S_AE2_L_AH0_M_AE1_N_D_ER0
ボックスコート	box|coat	B_AA1_K_S|K_OW1_T
レストラン	restaurant	R_EH1_S_T_ER0_AA2_N_T
メキシコサラマンダー	mexican|salamander	M_EH1_K_S_AH0_K_AH0_N|S_AE2_L_AH0_M_AE1_N_D_ER0
メルボルン	melbourne	M_EH1_L_B_ER0_N
イミグレーション	immigration	IH2_M_AH0_G_R_EY1_SH_AH0_N
レジストレーション	registration	R_EH2_JH_IH0_S_T_R_EY1_SH_AH0_N
パリティーチェック	parity|check	P_EH1_R_AH0_T_IY0|CH_EH1_K
ピッチフォーク	pitchfork	P_IH1_CH_F_AO2_R_K
サージェリー	surgery	S_ER1_JH_ER0_IY0
アレルギーテスト	allergy|test	AE1_L_ER0_JH_IY0|T_EH1_S_T
シラー	scilla	S_IH1_L_AH0
アンカーボルト	anchor|bolt	AE1_NG_K_ER0|B_OW1_L_T
スランプ	slump	S_L_AH1_M_P
スクールカウンセラー	school|counsellor	S_K_UW1_L|K_AW1_N_S_AH0_L_ER0
ホットラボラトリー	hot|laboratory	HH_AA1_T|L_AE1_B_R_AH0_T_AO2_R_IY0
ファントム	phantom	F_AE1_N_T_AH0_M
オーストリッチレザー	ostrich|leather	AO1_S_T_R_IH0_CH|L_EH1_DH_ER0
エンパワメント	empowerment	IH0_M_P_AW1_ER0_M_AH0_N_T
アルティプラノ	altiplano	AE2_L_T_AH0_P_L_AA1_N_OW2
セットアップタイム	setup|time	S_EH1_T_AH2_P|T_AY1_M
ベター	better	B_EH1_T_ER0
ジャンパポスト	jumper|post	JH_AH1_M_P_ER0|P_OW1_S_T
カスタムダイアログボックス	custom|dialog|box	K_AH1_S_T_AH0_M|D_AY1_AH0_L_AO0_G|B_AA1_K_S
タイムレス	timeless	T_AY1_M_L_AH0_S
フリーダイビング	free|diving	F_R_IY1|D_AY1_V_IH0_NG
プレーンソーダ	plain|soda	P_L_EY1_N|S_OW1_D_AH0
エピトープ	epitope	EH1_P_IH0_T_OW2_P
レジームチェンジ	regime|change	R_AH0_ZH_IY1_M|CH_EY1_N_JH
トップ	top	T_AA1_P
ダンサー	dancer	D_AE1_N_S_ER0
ウィル	will	W_IH1_L
シートベルト	seat|belt	S_IY1_T|B_EH1_L_T
スポットコマーシャル	spot|commercial	S_P_AA1_T|K_AH0_M_ER1_SH_AH0_L
ゴールデンルート	golden|route	G_OW1_L_D_AH0_N|R_UW1_T
パラノイア	paranoia	P_EH2_R_AH0_N_OY1_AH0
レインジ	range	R_EY1_N_JH
プリンタ	printer	P_R_IH1_N_T_ER0
フラグシーケンス	flag|sequence	F_L_AE1_G|S_IY1_K_W_AH0_N_S
スロットルバルブ	throttle|valve	TH_R_AA1_T_AH0_L|V_AE1_L_V
ウイナーテイクオール	winner|take|all	W_IH1_N_ER0|T_EY1_K|AO1_L
ファンシーストア	fancy|store	F_AE1_N_S_IY0|S_T_AO1_R
ネポチズム	nepotism	N_EH1_P_AH0_T_IH2_Z_AH0_M
リプレゼンタティブ	representative	R_EH2_P_R_AH0_Z_EH1_N_T_AH0_T_IH0_V
マスターキー	master|key	M_AE1_S_T_ER0|K_IY1
マルチング	mulching	M_AH1_L_CH_IH0_NG
プレイン	plain	P_L_EY1_N
バンキング	banking	B_AE1_NG_K_IH0_NG
セックスホルモン	sex|hormone	S_EH1_K_S|HH_AO1_R_M_OW2_N
トップメニュー	top|menu	T_AA1_P|M_EH1_N_Y_UW0
ケト	keto	K_EY1_T_OW0
コマンダー	commander	K_AH0_M_AE1_N_D_ER0
ワーキングママ	working|mama	W_ER1_K_IH0_NG|M_AA1_M_AH0
ウェルカム	welcome	W_EH1_L_K_AH0_M
バルブボルト	valve|volt	V_AE1_L_V|V_OW1_L_T
ユーモアセンス	humor|sense	HH_Y_UW1_M_ER0|S_EH1_N_S
ヒーリング	healing	HH_IY1_L_IH0_NG
トレール	trail	T_R_EY1_L
オポチュニティ	opportunity	AA2_P_ER0_T_UW1_N_AH0_T_IY0
ターゲットゾーン	target|zone	T_AA1_R_G_AH0_T|Z_OW1_N
クリーンブート	clean|boot	K_L_IY1_N|B_UW1_T
ヤングマン	young|man	Y_AH1_NG|M_AE1_N
スケアクロー	scarecrow	S_K_AE1_R_K_R_OW2
アドミッション	admission	AE0_D_M_IH1_SH_AH0_N
チーク	teak	T_IY1_K
メイクオーバー	make|over	M_EY1_K|OW1_V_ER0
レビューワー	reviewer	R_IY0_V_Y_UW1_ER0
アプリケーションバンドル	application|bundle	AE2_P_L_AH0_K_EY1_SH_AH0_N|B_AH1_N_D_AH0_L
エディタ	editor	EH1_D_AH0_T_ER0
ヴィリニュス	vilnius	V_IH1_L_N_IY0_AH0_S
バイブレータ	vibrator	V_AY1_B_R_EY0_T_ER0
バインディング	binding	B_AY1_N_D_IH0_NG
ジャンプ	jump	JH_AH1_M_P
ドアチェーン	door|chain	D_AO1_R|CH_EY1_N
リモート	remote	R_IH0_M_OW1_T
ゴシックロリータ	gothic|lolita	G_AA1_TH_IH0_K|L_OW0_L_IY1_T_AH0
プレート	plate	P_L_EY1_T
チュービング	tubing	T_UW1_B_IH0_NG
ラッシュプリント	rush|print	R_AH1_SH|P_R_IH1_N_T
トリートメント	treatment	T_R_IY1_T_M_AH0_N_T
フィナカップ	fina|cup	F_AY1_N_AH0|K_AH1_P
シンクロナイズ	synchronize	S_IH1_NG_K_R_AH0_N_AY2_Z
リムジーン	limousine	L_IH1_M_AH0_Z_IY2_N
ローカット	low|cut	L_OW1|K_AH1_T
リザレクション	resurrection	R_EH2_Z_ER0_EH1_K_SH_AH0_N
フルーツバスケット	fruits|basket	F_R_UW1_T_S|B_AE1_S_K_AH0_T
アポカリプス	apocalypse	AH0_P_AA1_K_AH0_L_IH2_P_S
ファルコン	falcon	F_AE1_L_K_AH0_N
オーツ	oats	OW1_T_S
レーザプリンタ	laser|printer	L_EY1_Z_ER0|P_R_IH1_N_T_ER0
クリーンブース	clean|booth	K_L_IY1_N|B_UW1_TH
メソジスト	methodist	M_EH1_TH_AH0_D_AH0_S_T
プラムプディング	plum|pudding	P_L_AH1_M|P_UH1_D_IH0_NG
スターリニズム	stalinism	S_T_AE1_L_IH0_N_IH2_Z_AH0_M
サンプルブック	sample|book	S_AE1_M_P_AH0_L|B_UH1_K
グルーミー	gloomy	G_L_UW1_M_IY0
ウインカー	winker	W_IH1_NG_K_ER0
フロアスタンド	floor|stand	F_L_AO1_R|S_T_AE1_N_D
バイブラフォン	vibraphone	V_AY1_B_R_AH0_F_OW2_N
ワラビー	wallaby	W_AA1_L_AH0_B_IY2
アパチャカード	aperture|card	AE1_P_ER0_CH_ER0|K_AA1_R_D
ブラックマンバ	black|mamba	B_L_AE1_K|M_AA1_M_B_AH0
リボーク	revoke	R_IY0_V_OW1_K
バイプレイヤー	by|player	B_AY1|P_L_EY1_ER0
サパークラブ	supper|club	S_AH1_P_ER0|K_L_AH1_B
キャラクタベース	character|base	K_EH1_R_IH0_K_T_ER0|B_EY1_S
エマージング	emerging	IH0_M_ER1_JH_IH0_NG
カメオ	cameo	K_AE1_M_IY0_OW2
スープボウル	soup|bowl	S_UW1_P|B_OW1_L
ディフェンシブ	defensive	D_IH0_F_EH1_N_S_IH0_V
スコッチ	scotch	S_K_AA1_CH
カージナルテトラ	cardinal|tetra	K_AA1_R_D_IH0_N_AH0_L|T_EH1_T_R_AH0
ヌー	gnu	N_UW1
グラフィティ	graffiti	G_R_AH0_F_IY1_T_IY0
スポッター	spotter	S_P_AA1_T_ER0
ゴーゴー	go|go	G_OW1|G_OW1
スクリーンセイブ	screen|save	S_K_R_IY1_N|S_EY1_V
グレイリーフシャーク	grey|reef|shark	G_R_EY1|R_IY1_F|SH_AA1_R_K
グラッシ	glacis	G_L_EY1_S_AH0_S
リバースターン	reverse|turn	R_IH0_V_ER1_S|T_ER1_N
コンテンツマスタ	contents|master	K_AA1_N_T_EH0_N_T_S|M_AE1_S_T_ER0
アクアラング	aqualung	AE1_K_W_AH0_L_AH0_NG
テクノサイエンス	techno|science	T_EH1_K_N_OW0|S_AY1_AH0_N_S
ギフトクーポン	gift|coupon	G_IH1_F_T|K_UW1_P_AO2_N
リルート	reroute	R_IY0_R_UW1_T
キラーコンテンツ	killer|contents	K_IH1_L_ER0|K_AA1_N_T_EH0_N_T_S
ドッジボール	dodge|ball	D_AA1_JH|B_AO1_L
ルーフラック	roof|rack	R_UW1_F|R_AE1_K
クレームトークン	claim|token	K_L_EY1_M|T_OW1_K_AH0_N
ピンク	pink	P_IH1_NG_K
カテーテル	catheter	K_AE1_TH_AH0_T_ER0
スプレッドシートプログラム	spreadsheet|program	S_P_R_EH1_D_SH_IY2_T|P_R_OW1_G_R_AE2_M
コスチューム	costume	K_AA0_S_T_UW1_M
バン	bun	B_AH1_N
アマン	amante	AA0_M_AA1_N_T_IY0
パリティ	parity	P_EH1_R_AH0_T_IY0
ジューン	june	JH_UW1_N
ビットパターン	bit|pattern	B_IH1_T|P_AE1_T_ER0_N
スパークリングワイン	sparkling|wine	S_P_AA1_R_K_L_IH0_NG|W_AY1_N
カンジダ	candida	K_AE1_N_D_IH0_D_AH0
ツナ	tuna	T_UW1_N_AH0
ストックコントロール	stock|control	S_T_AA1_K|K_AH0_N_T_R_OW1_L
シガレットライター	cigarette|lighter	S_IH2_G_AH0_R_EH1_T|L_AY1_T_ER0
ブローカー	broker	B_R_OW1_K_ER0
コミューターマリッジ	commuter|marriage	K_AH0_M_Y_UW1_T_ER0|M_EH1_R_IH0_JH
レールロード	railroad	R_EY1_L_R_OW2_D
バックマージン	back|margin	B_AE1_K|M_AA1_R_JH_AH0_N
パラレル	parallel	P_EH1_R_AH0_L_EH2_L
パス	pas	P_AA1_Z
エネルギースター	energy|star	EH1_N_ER0_JH_IY0|S_T_AA1_R
バチェラー	bachelor	B_AE1_CH_AH0_L_ER0
フロス	floss	F_L_AA1_S
クラフトビール	craft|beer	K_R_AE1_F_T|B_IH1_R
アベニュー	avenue	AE1_V_AH0_N_UW2
グレープ	grape	G_R_EY1_P
カリキュラム	curriculum	K_ER0_IH1_K_Y_AH0_L_AH0_M
システムライブラリ	system|library	S_IH1_S_T_AH0_M|L_AY1_B_R_EH0_R_IY2
ハロウィーン	halloween	HH_AE2_L_AH0_W_IY1_N
レッドバナナ	red|banana	R_EH1_D|B_AH0_N_AE1_N_AH0
ニュークリアファミリー	nuclear|family	N_UW1_K_L_IY0_ER0|F_AE1_M_AH0_L_IY0
クリアキー	clear|key	K_L_IH1_R|K_IY1
トークンバス	token|bus	T_OW1_K_AH0_N|B_AH1_S
テンポ	tempo	T_EH1_M_P_OW2
レーサーパンツ	racer|pants	R_EY1_S_ER0|P_AE1_N_T_S
タミル	tamil	T_AH0_M_IH1_L
キャップランプ	cap|lamp	K_AE1_P|L_AE1_M_P
フェノールフタレイン	phenolphthalein	F_IY2_N_AA0_L_F_TH_EY1_L_AH0_N
タイガース	tigers	T_AY1_G_ER0_Z
リアルタイムシステム	real-time|system	R_IY1_L_T_AY2_M|S_IH1_S_T_AH0_M
レギュラー	regular	R_EH1_G_Y_AH0_L_ER0
オクスブリッジ	oxbridge	AA1_K_S_B_R_IH2_JH
ハイディング	hiding	HH_AY1_D_IH0_NG
ヒートショック	heat|shock	HH_IY1_T|SH_AA1_K
モデルハウス	model|house	M_AA1_D_AH0_L|HH_AW1_S
ライダー	rider	R_AY1_D_ER0
インダストリアル	industrial	IH2_N_D_AH1_S_T_R_IY0_AH0_L
ステント	stent	S_T_EH1_N_T
コンダクト	conduct	K_AA1_N_D_AH0_K_T
ジャズフェスティバル	jazz|festival	JH_AE1_Z|F_EH1_S_T_AH0_V_AH0_L
マラウイ	malawi	M_AH0_L_AA1_W_IY0
モバイルフォン	mobile|phone	M_OW1_B_AH0_L|F_OW1_N
メガワット	megawatt	M_EH1_G_AH0_W_AA2_T
イービジネス	e|business	IY1|B_IH1_Z_N_AH0_S
ストリップショー	strip|show	S_T_R_IH1_P|SH_OW1
ティッカーバー	ticker|bar	T_IH1_K_ER0|B_AA1_R
ダックスフンド	dachshund	D_AA1_K_S_HH_UH2_N_D
メインフレームコンピュータ	mainframe|computer	M_EY1_N_F_R_EY2_M|K_AH0_M_P_Y_UW1_T_ER0
カウル	cowl	K_AW1_L
サバティカルイヤー	sabbatical|year	S_AH0_B_AE1_T_IH0_K_AH0_L|Y_IH1_R
ワーカーズコレクティブ	workers'|collective	W_ER1_K_ER0_Z|K_AH0_L_EH1_K_T_IH0_V
ブラインドカーボンコピー	blind|carbon|copy	B_L_AY1_N_D|K_AA1_R_B_AH0_N|K_AA1_P_IY0
バッチ	batch	B_AE1_CH
ナースコール	nurse|call	N_ER1_S|K_AO1_L
フーガ	fugue	F_Y_UW1_G
インフォメーションシステム	information|system	IH2_N_F_AO2_R_M_EY1_SH_AH0_N|S_IH1_S_T_AH0_M
リアル	real	R_IY1_L
バックアップセットカタログ	backup|set|catalog	B_AE1_K_AH2_P|S_EH1_T|K_AE1_T_AH0_L_AO0_G
ハイバネーション	hibernation	HH_AY2_B_ER0_N_EY1_SH_AH0_N
キャット	cat	K_AE1_T
スポットチェック	spot|check	S_P_AA1_T|CH_EH1_K
メタリックケーブル	metallic|cable	M_AH0_T_AE1_L_IH0_K|K_EY1_B_AH0_L
セールスリード	sales|lead	S_EY1_L_Z|L_EH1_D
ミット	mitt	M_IH1_T
バイポーラデバイス	bi-polar|device	B_AY0_P_OW1_L_ER0|D_IH0_V_AY1_S
パイプライン	pipeline	P_AY1_P_L_AY2_N
タロウ	tallow	T_AE1_L_OW0
センサス	census	S_EH1_N_S_AH0_S
ルレット	roulette	R_UW0_L_EH1_T
ファース	farce	F_AA1_R_S
ピエスモンテ	piece|montee	P_IY1_S|M_AA1_N_T_IY0
ソファー	sofa	S_OW1_F_AH0
バックトラッキング	back|tracking	B_AE1_K|T_R_AE1_K_IH0_NG
フレアー	flare	F_L_EH1_R
ケーブルコネクタ	cable|connector	K_EY1_B_AH0_L|K_AH0_N_EH1_K_T_ER0
モーブ	mauve	M_AO1_V
オープンウォータースイミング	open|water|swimming	OW1_P_AH0_N|W_AO1_T_ER0|S_W_IH1_M_IH0_NG
サポートセンター	support|centre	S_AH0_P_AO1_R_T|S_EH1_N_T_ER0
ファクシミリ	facsimile	F_AE0_K_S_IH1_M_AH0_L_IY0
インコーナー	in|corner	IH2_N|K_AO1_R_N_ER0
カドミウムオレンジ	cadmium|orange	K_AE1_D_M_IY0_AH0_M|AO1_R_IH0_N_JH
トップコンテンダー	top|contender	T_AA1_P|K_AH0_N_T_EH1_N_D_ER0
トーラー	torah	T_AO1_R_AH0
パイプスチル	pipe|still	P_AY1_P|S_T_IH1_L
ナイトブラ	night|bra	N_AY1_T|B_R_AA1
バーチャルウォレット	virtual|wallet	V_ER1_CH_UW0_AH0_L|W_AO1_L_AH0_T
レシーブ	receive	R_AH0_S_IY1_V_IH0
ジャパンファウンデーション	japan|foundation	JH_AH0_P_AE1_N|F_AW0_N_D_EY1_SH_AH0_N
エアポンプ	air|pump	EH1_R|P_AH1_M_P
ビジー	busy	B_IH1_Z_IY0
インジャンクション	injunction	IH2_N_JH_AH1_NG_K_SH_AH0_N
レイシスト	racist	R_EY1_S_IH0_S_T
ラミネートスキー	laminate|ski	L_AE1_M_AH0_N_EY2_T|S_K_IY1
アドリブ	ad|lib	AE1_D|L_IH1_B
デーパック	day|pack	D_EY1|P_AE1_K
アナログモデム	analog|modem	AE1_N_AH0_L_AO2_G|M_OW1_D_AH0_M
ブルーチーズ	blue|cheese	B_L_UW1|CH_IY1_Z
アニメイト	animate	AE1_N_AH0_M_AH0_T
スターティングラインアップ	starting|lineup	S_T_AA1_R_T_IH0_NG|L_AY1_N_AH2_P
ハンドアックス	hand|axe	HH_AE1_N_D|AE1_K_S
エコノミックアニマル	economic|animal	EH2_K_AH0_N_AA1_M_IH0_K|AE1_N_AH0_M_AH0_L
ロマンスシート	romance|seat	R_OW0_M_AE1_N_S|S_IY1_T
ハーブティー	herb|tea	ER1_B|T_IY1
ソーラー	solar	S_OW1_L_ER0
プラクティカル	practical	P_R_AE1_K_T_IH0_K_AH0_L
ニードロップ	knee|drop	N_IY1|D_R_AA1_P
セネター	senator	S_EH1_N_AH0_T_ER0
キャビンアテンダント	cabin|attendant	K_AE1_B_AH0_N|AH0_T_EH1_N_D_AH0_N_T
サイドテーブル	side|table	S_AY1_D|T_EY1_B_AH0_L
ドメスチックサイエンス	domestic|science	D_AH0_M_EH1_S_T_IH0_K|S_AY1_AH0_N_S
ミーティアライト	meteorite	M_IY1_T_IY0_AO0_R_AY2_T
リングノート	ring|note	R_IH1_NG|N_OW1_T
プルマンカー	pullman|car	P_UH1_L_M_AH0_N|K_AA1_R
オレンジカード	orange|card	AO1_R_IH0_N_JH|K_AA1_R_D
メディカルソーシャルワーカー	medical|social|worker	M_EH1_D_AH0_K_AH0_L|S_OW1_SH_AH0_L|W_ER1_K_ER0
ターコイズ	turquoise	T_ER1_K_W_OY0_Z
シネマオルガン	cinema|organ	S_IH1_N_AH0_M_AH0|AO1_R_G_AH0_N
ノースブリッジ	north|bridge	N_AO1_R_TH|B_R_IH1_JH
ヨットクラブ	yacht|club	Y_AA1_T|K_L_AH1_B
レペルトワール	repertoire	R_EH1_P_ER0_T_W_AA2_R
コネクター	connector	K_AH0_N_EH1_K_T_ER0
ポリューション	pollution	P_AH0_L_UW1_SH_AH0_N
ニューフロンティア	new|frontier	N_UW1|F_R_AH0_N_T_IH1_R
ソーシャルエンジニアリング	social|engineering	S_OW1_SH_AH0_L|EH1_N_JH_AH0_N_IH1_R_IH0_NG
ダカール	dakar	D_AA0_K_AA1_R
コマーシャル	commercial	K_AH0_M_ER1_SH_AH0_L
シフトアウト	shift|out	SH_IH1_F_T|AW1_T
スワッチ	swatch	S_W_AA1_CH
オフィスコンピューター	office|computer	AO1_F_AH0_S|K_AH0_M_P_Y_UW1_T_ER0
トラヒックフロー	traffic|flow	T_R_AE1_F_IH0_K|F_L_OW1
パーマネントトラベラー	permanent|traveller	P_ER1_M_AA0_N_EH2_N_T|T_R_AE1_V_AH0_L_ER0
イブニング	evening	IY1_V_N_IH0_NG
コンフォータブル	comfortable	K_AH1_M_F_ER0_T_AH0_B_AH0_L
カーキ	khaki	K_AA1_K_IY0
ソングポスト	song|post	S_AO1_NG|P_OW1_S_T
コイトス	coitus	K_OY1_T_AH0_S
ディスコミュニケーション	dis|communication	D_IH1_S|K_AH0_M_Y_UW2_N_AH0_K_EY1_SH_AH0_N
セレニウム	selenium	S_AH0_L_IY1_N_IY0_AH0_M
ラップフィルム	wrap|film	R_AE1_P|F_IH1_L_M
ハンドニット	hand|knit	HH_AE1_N_D|N_IH1_T
カムバック	comeback	K_AH1_M_B_AE2_K
ウォークスルー	walk|through	W_AO1_K|TH_R_UW1
リブロース	rib|roast	R_IH1_B|R_OW1_S_T
テイン	thein	TH_AY1_N
エナジェティック	energetic	EH2_N_ER0_JH_EH1_T_IH0_K
ハリバット	halibut	HH_AE1_L_AH0_B_AH0_T
レガシ	legacy	L_EH1_G_AH0_S_IY0
アフラトキシン	aflatoxin	AE2_F_L_AH0_T_AA1_K_S_IH0_N
アンタゴニズム	antagonism	AE0_N_T_AE1_G_AH0_N_IH2_Z_AH0_M
ディッシャー	disher	D_IH1_SH_ER0
ベースボールカード	baseball|card	B_EY1_S_B_AO1_L|K_AA1_R_D
クラウディングアウト	crowding|out	K_R_AW1_D_IH0_NG|AW1_T
サインブック	sign|book	S_AY1_N|B_UH1_K
テレマーケター	telemarketer	T_EH2_L_AH0_M_AA1_R_K_IH0_T_ER0
エバポレーテッドミルク	evaporated|milk	IH0_V_AE1_P_ER0_EY2_T_AH0_D|M_IH1_L_K
ポテトフライ	potato|fry	P_AH0_T_EY1_T_OW2|F_R_AY1
データベースエンジン	database|engine	D_EY1_T_AH0_B_EY2_S|EH1_N_JH_AH0_N
ネームロンダリング	name|laundering	N_EY1_M|L_AO1_N_D_ER0_IH0_NG
ポップヒント	pop|hint	P_AA1_P|HH_IH1_N_T
ファイルパーミッション	file|permission	F_AY1_L|P_ER0_M_IH1_SH_AH0_N
コンパチブル	compatible	K_AH0_M_P_AE1_T_AH0_B_AH0_L
ウガンダ	uganda	Y_UW0_G_AE1_N_D_AA0
インダストリアルデザイン	industrial|design	IH2_N_D_AH1_S_T_R_IY0_AH0_L|D_IH0_Z_AY1_N
クロスボー	crossbow	K_R_AO1_S_B_OW2
サバト	sabbath	S_AE1_B_AH0_TH
スキーパンツ	ski|pants	S_K_IY1|P_AE1_N_T_S
スキャンプロファイル	scan|profile	S_K_AE1_N|P_R_OW1_F_AY2_L
ドライスーツ	dry|suits	D_R_AY1|S_UW1_T_S
ロードプライシング	road|pricing	R_OW1_D|P_R_AY1_S_IH0_NG
コンシューマーズリレーション	consumers'|relation	K_AH0_N_S_UW1_M_ER0_Z|R_IY0_L_EY1_SH_AH0_N
シャウト	shout	SH_AW1_T
レーシック	lasik	L_EY1_S_IH2_K
クルップ	krupp	K_R_AH1_P
オールド	old	OW1_L_D
ディスインフレ	disinflation	D_IH2_S_IH0_N_F_L_EY1_SH_AH0_N
レース	lathe	L_EY1_DH
エイズワクチン	aids|vaccine	EY1_D_Z|V_AE2_K_S_IY1_N
ガマット	gamut	G_AE1_M_AH0_T
ロールバー	roll|bar	R_OW1_L|B_AA1_R
オピニオン	opinion	AH0_P_IH1_N_Y_AH0_N
スターボード	starboard	S_T_AA1_R_B_ER0_D
ルーム	room	R_UW1_M
ノミネーション	nomination	N_AA2_M_AH0_N_EY1_SH_AH0_N
スケジュール	schedule	S_K_EH1_JH_UH0_L
コーディネータ	coordinator	K_OW0_AO1_R_D_AH0_N_EY2_T_ER0
テニスウェア	tennis|wear	T_EH1_N_AH0_S|W_EH1_R
コレクト	collect	K_AH0_L_EH1_K_T
アラー	allah	AA1_L_AH0
スタンダードモード	standard|mode	S_T_AE1_N_D_ER0_D|M_OW1_D
ゴーラル	goral	G_AO1_R_AH0_L
ルミネッセンス	luminescence	L_UW2_M_AH0_N_EH1_S_AH0_N_S
フルオートマチック	full|automatic	F_UH1_L|AO2_T_AH0_M_AE1_T_IH0_K
コモンズ	commons	K_AA1_M_AH0_N_Z
タリー	tally	T_AE1_L_IY0
メジャーアップグレード	major|upgrade	M_EY1_JH_ER0|AH0_P_G_R_EY1_D
テンパー	temper	T_EH1_M_P_ER0
ヤク	yak	Y_AE1_K
ジーマン	g|men	JH_IY1|M_EH1_N
ハミングバード	hummingbird	HH_AH1_M_IH0_NG_B_ER2_D
グラウト	grout	G_R_AW1_T
インダストリアルエンジニアリング	industrial|engineering	IH2_N_D_AH1_S_T_R_IY0_AH0_L|EH1_N_JH_AH0_N_IH1_R_IH0_NG
グループホーム	group|home	G_R_UW1_P|HH_OW1_M
ランディングバーン	landing|bahn	L_AE1_N_D_IH0_NG|B_AE1_N
トラベラーチェック	traveler|check	T_R_AE1_V_AH0_L_ER0|CH_EH1_K
カタストロフィー	catastrophe	K_AH0_T_AE1_S_T_R_AH0_F_IY0
キャリアウーマン	career|woman	K_ER0_IH1_R|W_UH1_M_AH0_N
ベランダー	veranda	V_ER0_AE1_N_D_AH0
フードスタンプ	food|stamp	F_UW1_D|S_T_AE1_M_P
エムエスドス	m|s|dos	EH1_M|EH1_S|D_AO1_S
アイスブレーカー	icebreaker	AY1_S_B_R_EY2_K_ER0
エンター	enter	EH1_N_T_ER0
イグニッション	ignition	IH2_G_N_IH1_SH_AH0_N
ホールケーキ	whole|cake	HH_OW1_L|K_EY1_K
ポリティカルフィクション	political|fiction	P_AH0_L_IH1_T_AH0_K_AH0_L|F_IH1_K_SH_AH0_N
フェアプレー	fair|play	F_EH1_R|P_L_EY1
スウェード	suede	S_W_EY1_D
ムッシュー	monsieur	M_AH0_S_Y_ER1
ガーゼ	gaze	G_EY1_Z
ラスタースキャンディスプレイ	raster|scan|display	R_AE1_S_T_ER0|S_K_AE1_N|D_IH0_S_P_L_EY1
ノングレア	non|glare	N_AA1_N|G_L_EH1_R
ファージ	phage	F_EY1_JH
リーダーシップ	leadership	L_IY1_D_ER0_SH_IH2_P
ブルーセックス	blue|sex	B_L_UW1|S_EH1_K_S
スイミングクラブ	swimming|club	S_W_IH1_M_IH0_NG|K_L_AH1_B
アイロニカル	ironical	AY0_R_AA1_N_IH0_K_AH0_L
アーケード	arcade	AA0_R_K_EY1_D
