SUTANDINGU	STANDING
HYUUMANISUTIKKU	HUMANISTIC
MASAAJU	MASSAGE
REVUXYUU	REVUE
KURIIKU	CREEK
MURAATO	MULATTO
BAAJINITII	VIRGINITY
AREESU	ARES
MISSHII	MISSY
RIKOMENDEESHON	RECOMMENDATION
ASUPARUTEEMU	ASPARTAME
INTAAKONCHINENTARU	INTERCONTINENTAL
YUNIFOOMU	UNIFORM
TAGUBOOTO	TUGBOAT
JUU	JEW
NOOMARU	NORMAL
YUUZUDO	USED
GUYAASHU	GOULASH
INTAAKAREJJI	INTERCOLLEGIATE
PURAIBASHII	PRIVACY
SABUGURUUPU	SUBGROUP
OOTOMOBIRU	AUTOMOBILE
SAAKAMUSUKURAIBU	CIRCUMSCRIBE
AKUTIBEETA	ACTIVATOR
DAIAROOGU	DIALOGUE
OOGANAIZEESHON	ORGANIZATION
REESHII	LACY
HORII	HOLLY
KONDISHONAA	CONDITIONER
SHITTAA	SITTER
REBEREESHON	REVELATION
BAZUUKA	BAZOOKA
KOODINEETA	COORDINATOR
SUPIRICHARITII	SPIRITUALITY
DORIIMII	DREAMY
BURIICHINGU	BLEACHING
EEDERUWAISU	EDELWEISS
PUROSUTEESHISU	PROSTHESIS
FEIDAA	FADER
HAAMONAIZEESHON	HARMONIZATION
SUKYUU	SKEW
CHIAA	CHEER
OODIOBIJUARU	AUDIOVISUAL
SAADIN	SARDINE
DISUKABAA	DISCOVER
YUUBIKITASU	UBIQUITOUS
MACHINEE	MATINEE
MENOORAA	MENORAH
SHOOTOKEEKI	SHORTCAKE
PUROTTAA	PLOTTER
JISUTOROFII	DYSTROPHY
SUTORECCHAA	STRETCHER
DISUADOBANTEEJI	DISADVANTAGE
SAIENTOROJII	SCIENTOLOGY
IRASUTOREETO	ILLUSTRATE
GAANETTO	GARNET
ABUSORYUUTIZUMU	ABSOLUTISM
KONSOOTIAMU	CONSORTIUM
SENCHURII	CENTURY
KONFURII	COMFREY
PAAFOREESHON	PERFORATION
MENTARITEII	MENTALITY
TORUUPAA	TROOPER
HORUSUTAA	HOLSTER
BAAMYUUDA	BERMUDA
BUROODOBANDO	BROADBAND
MODARITII	MODALITY
SURIIVU	SLEEVE
GURANYUURU	GRANULE
HAKKAA	HACKER
SABEEYAA	SURVEYOR
OOTAMU	AUTUMN
SUMOOGASUBOODO	SMORGASBORD
SUTOPPUOOBAA	STOPOVER
SEEFUTI	SAFETY
NASHONARITII	NATIONALITY
SAPOOTAA	SUPPORTER
OFAA	OFFER
OOSODOKKUSU	ORTHODOX
SUKEETAA	SKATER
GOORU	GOAL
TAAN	TURN
SUTOOREJI	STORAGE
PAASON	PERSON
MAASHU	MACHE
NYUUTORARIZUMU	NEUTRALISM
CHUUBU	TUBE
POPII	POPPY
DISENBAA	DECEMBER
SUROOPU	SLOPE
MERIIRANDO	MARYLAND
YUUKARISUTO	EUCHARIST
SHIIN	SCENE
BUUINGU	BOOING
IRIIGARU	ILLEGAL
KEEBU	CAVE
RIIDAIYARU	REDIAL
WENZUDEE	WEDNESDAY
RIKABARII	RECOVERY
DAIOODO	DIODE
SAAFU	SURF
REESU	LACE
PURAIYAA	PLIERS
BUREESAA	BRACER
GURENEEDO	GRENADE
FUREEBA	FLAVOR
OOSODOKISHII	ORTHODOXY
KURUUJINGU	CRUISING
SHUREDDAA	SHREDDER
BASUUN	BASSOON
OOBAAPASU	OVERPASS
SUNIIKAA	SNEAKER
AAKITEKUCHA	ARCHITECTURE
MOORE	MOLE
GOOJI	GORGE
SUPURIIMU	SUPREME
DERIBARII	DELIVERY
BARAADO	BALLADE
TOROOCHI	TROCHE
UINTAA	WINTER
FURISUBII	FRISBEE
AIDENTIFIKEESHON	IDENTIFICATION
BASUKETTOBOORU	BASKETBALL
EKOOROKEESHON	ECHOLOCATION
REAA	RARE
HICCHIHAIKAA	HITCHHIKER
MIITINGU	MEETING
INSUTAREESHON	INSTALLATION
PUURUSAIDO	POOLSIDE
BOOGEN	BOGEN
HOOMUZU	HOMES
DIIBA	DIVA
TEKUSUCHAA	TEXTURE
SHOKKAA	SHOCKER
KIINOOTO	KEYNOTE
ESUKUROO	ESCROW
SETTAA	SETTER
HAATORANDO	HEARTLAND
KONBAAJON	CONVERSION
POINTAA	POINTER
KUURINGU	COOLING
INKYUBEESHON	INCUBATION
RAJIEETAA	RADIATOR
MAAGARETTO	MARGUERITE
ARRAA	ALLAH
TONAA	TONER
ECHIMOROJII	ETYMOLOGY
BIGGUHOON	BIGHORN
YUNIBAASU	UNIVERSE
HOOMUSHIKKU	HOMESICK
KEEBINGU	CAVING
BUREENSUTOOMINGU	BRAINSTORMING
KUROONINGU	CLONING
TOROORU	TROLL
WEEBA	WEBER
PANJII	PANSY
GUROORII	GLORY
SAAFUBOODO	SURFBOARD
KOREKUTAAZU	COLLECTORS
BINIIRU	VINYL
OOTOMACHIKKU	AUTOMATIC
TIMOORU	TIMOR
KAUNTAAKARUCHAA	COUNTERCULTURE
SHINPASAIZAA	SYMPATHIZER
KOMODOORU	COMMODORE
SAUNDAA	SOUNDER
RIPURIKEETO	REPLICATE
DERIITO	DELETE
GOOJASU	GORGEOUS
MEROO	MELLOW
SAKUSOFOON	SAXOPHONE
MOCHIBEESHON	MOTIVATION
BEESUBOORU	BASEBALL
DOOPU	DOPE
EPIROOGU	EPILOGUE
ABOOSHON	ABORTION
DOORUHAUSU	DOLLHOUSE
DAUNROODO	DOWNLOAD
MAACHI	MARCH
DIFARENSHIEESHON	DIFFERENTIATION
BAATENDAA	BARTENDER
SEMINAA	SEMINAR
ETAANARU	ETERNAL
SUKEJUURINGU	SCHEDULING
BABURII	BUBBLY
SUUPAAKONPYUUTAA	SUPERCOMPUTER
APAACHAA	APERTURE
SEESHERU	SEYCHELLES
AAKITEKUCHURARU	ARCHITECTURAL
ROODOSUTAA	ROADSTER
HOORUTAA	HALTER
AUTAA	OUTER
RIDANDANSHII	REDUNDANCY
INSUTOORUMENTO	INSTALLMENT
EKUSUPUROITEESHON	EXPLOITATION
JAAJII	JERSEY
BOOTO	BOAT
KIIPADDO	KEYPAD
GYARATII	GUARANTY
IESUTADEE	YESTERDAY
GUREETO	GREAT
TENPAA	TEMPER
BAKKUWOOTAA	BACKWATER
KONSUTORAKUTAA	CONSTRUCTOR
GURUUMII	GLOOMY
SOOSHARU	SOCIAL
SHOO	SHOW
CHIIPU	CHEAP
VIIRUSU	VIRUS
KOODINEESHON	COORDINATION
PURUUFU	PROOF
SAA	SIR
MARUTAAZE	MALTASE
PARUSAA	PULSAR
RIIFOO	LIFO
EEDERUVAISU	EDELWEISS
WOOTAATAITO	WATERTIGHT
MAROO	MALLOW
JAGAA	JAGUAR
PORISHII	POLICY
KOOPASU	CORPUS
HIPOKONDERII	HYPOCHONDRIA
MERANOOMA	MELANOMA
SHINJIKEESHON	SYNDICATION
SHIIKENSHARU	SEQUENTIAL
KAASA	CASA
BIIA	BIER
RUUPU	LOOP
SHIIZU	SEEDS
AACHISUTO	ARTIST
SUCHIIMU	STEAM
INKOHIIRENTO	INCOHERENT
IRIMINEESHON	ELIMINATION
RIFOOMINGU	REFORMING
ORINPIAADO	OLYMPIAD
SHUTOOREN	STOLLEN
GARII	GULLY
KAMERUUN	CAMEROON
PYUUTAA	PEWTER
REPOOTO	REPORT
YANGUSUTAA	YOUNGSTER
AKUSERUREETA	ACCELERATOR
WAAKUSU	WORKS
AAREFU	ALEPH
KONSHUUMAA	CONSUMER
DESUXIRYUUJON	DISILLUSION
SURIIPAA	SLEEPER
MOOTAA	MOTOR
INTAAFESU	INTERFACE
RIPIITO	REPEAT
DITIIRU	DETAIL
PAATIKYUREETO	PARTICULATE
KAANEEJON	CARNATION
RIIZENTO	REGENT
DAUNSUTORIIMU	DOWNSTREAM
ETAANITII	ETERNITY
TAIGAASU	TIGERS
REJITIMASHII	LEGITIMACY
PANTORII	PANTRY
GURIINHAUSU	GREENHOUSE
BIIBA	BEAVER
SUKUURU	SCHOOL
DOOJE	DOGE
AKUTIBEESHON	ACTIVATION
WEETINGU	WAITING
SHIKKUSUTII	SIXTY
RAAGE	LAGE
JOOJIA	GEORGIA
SHOOBINISUMU	CHAUVINISM
INKURUUSHIBU	INCLUSIVE
CHAINIIZU	CHINESE
MAAJINARU	MARGINAL
SHEERU	SHALE
MEESU	MACE
FERUMAATA	FERMATA
CHAARUSUTON	CHARLESTON
FOWAADO	FORWARD
DIBEROPPAA	DEVELOPER
KUEEKAA	QUAKER
MEIYAA	MAYOR
AATIFAKUTO	ARTIFACT
GUROBARAIZEESHON	GLOBALIZATION
OOSUTORICCHI	OSTRICH
MARIAAJU	MARRIAGE
RINOVEESHON	RENOVATION
NOWAARU	NOIR
BAIOFIIDOBAKKU	BIOFEEDBACK
FURIISUTAIRU	FREESTYLE
KYACCHII	CATCHY
RABURADOORU	LABRADOR
SUWETTOSUUTSU	SWEATSUIT
OOPIIESU	OPS
CHUUTAA	TUTOR
ORUTAANATIVU	ALTERNATIVE
OOBAAHIITO	OVERHEAT
DORAIBUUEE	DRIVEWAY
SUKUURUMEETO	SCHOOLMATE
SUTEETOMENTO	STATEMENT
SUTEEKI	STEAK
BURUUBAADO	BLUEBIRD
KEESUWAAKAA	CASEWORKER
BIIZA	VISA
FASHIRITII	FACILITY
SUKURIININGU	SCREENING
OOBAAREE	OVERLAY
DIPUROMASHII	DIPLOMACY
TAITORUHORUDAA	TITLEHOLDER
SHAASHI	CHASSIS
BUZAA	BUZZER
SUTORIIMAA	STREAMER
KONSOOSHIAMU	CONSORTIUM
DEETSU	DATE
KOKKUROOCHI	COCKROACH
HAIARAAKI	HIERARCHY
SHAWAA	SHOWER
OBURAATO	OBLATE
RINBOO	LIMBO
KOOTEINGU	COATING
RECHINAARU	RETINAL
KURIEETO	CREATE
WARABII	WALLABY
EKUSUPOOTO	EXPORT
ORUGANIZEESHON	ORGANIZATION
ASUTOROROJII	ASTROLOGY
DEETABEESU	DATABASE
ZUXIIBURA	ZEBRA
ABYUUZU	ABUSE
GOORARU	GORAL
HAAMONAIZU	HARMONIZE
BAIBUREITAA	VIBRATOR
KONSHIDAREESHON	CONSIDERATION
GARERII	GALLERY
KOKAKOORA	COCA-COLA
EMOOSHONARISUMU	EMOTIONALISM
MAACHANDAIZAA	MERCHANDISER
AKUUSUTIKKU	ACOUSTIC
FONEEMU	PHONEME
BURAUNSUTOON	BROWNSTONE
DAFAA	DUFFER
ANARAIZAA	ANALYZER
MAABURU	MARBLE
BUREEKUFASUTO	BREAKFAST
SUPOON	SPAWN
RAIFUBOOTO	LIFEBOAT
TOXUGYAZAA	TOGETHER
BUUMU	BOOM
HAIDOROMEETAA	HYDROMETER
WIIKUDEI	WEEKDAY
NIIMONIKKU	MNEMONIC
TORUTIIYA	TORTILLA
AASENIKKU	ARSENIC
SHIIKAA	SEEKER
WOOMU	WORM
KASUTAA	CASTER
SHAA	SHAH
AROKEETO	ALLOCATE
KUREE	CLAY
SUROOTO	THROAT
FIICHA	FEATURE
UEZAA	WEATHER
GOOSUTO	GHOST
KUONTITII	QUANTITY
MOOTAABAIKU	MOTORBIKE
WOOTAAMAAKU	WATERMARK
GOOREMU	GOLEM
SUNOOFUREEKU	SNOWFLAKE
TOXUMOROO	TOMORROW
SUMAATO	SMART
AAKEEDO	ARCADE
TAANPAIKU	TURNPIKE
PUROMOOTO	PROMOTE
KYUUPORA	CUPOLA
TOORAA	TORAH
SUPOOKUSUUUMAN	SPOKESWOMAN
TABII	TABBY
SAAFEISU	SURFACE
BURAZAA	BROTHER
SUTOKKUHORUDAA	STOCKHOLDER
SOOINGU	SEWING
OFFAA	OFFER
BEIRUUTO	BEIRUT
KONBORYUUSHON	CONVOLUTION
BIINZU	BEANS
ENGUREEBAA	ENGRAVER
MUUVUMENTO	MOVEMENT
KOOSHERU	KOSHER
HAIKAA	HIKER
BAATSU	BAHT
KEESON	CAISSON
ROOTEESHON	ROTATION
FAA	FUR
TAANSUTAIRU	TURNSTILE
BANDORIIDAA	BANDLEADER
CHARITII	CHARITY
RISUKEJUURINGU	RESCHEDULING
SANDEE	SUNDAE
MODEXYUREESHON	MODULATION
SAABURU	SABRE
MAINAA	MINER
SUPIIDII	SPEEDY
FANSHII	FANCY
SENYOORU	SENOR
AAKEIDO	ARCADE
BAASUTO	BURST
EABOON	AIRBORNE
GERIMANDAA	GERRYMANDER
PAASU	PARSE
RIISUNABURU	REASONABLE
DEKOODINGU	DECODING
DANSAA	DANCER
SUTEETSUMANSHIPPU	STATESMANSHIP
TORIMAA	TRIMMER
BIIGAN	VEGAN
YUUTOPIAN	UTOPIAN
PUROKUSHII	PROXY
YUUROKURATTO	EUROCRAT
PAASAA	PURSER
AKYUUMUREETA	ACCUMULATOR
VENCHAA	VENTURE
BEREE	BERET
PURODEXYUUSAA	PRODUCER
DEKISHIIRANDO	DIXIELAND
PUROMOOTAA	PROMOTER
SUTEEPURAA	STAPLER
RORIITA	LOLITA
BAATAA	BARTER
HOIIRUBEESU	WHEELBASE
UINDOFOORU	WINDFALL
BIIKURU	VEHICLE
DOREDDONOOTO	DREADNOUGHT
SUPIICHIRAITAA	SPEECHWRITER
MAIKUROMEETORU	MICROMETER
KONTOROORAA	CONTROLLER
PORIANDORII	POLYANDRY
FUUZU	FUSE
MANAA	MANNER
SUWIITII	SWEETIE
RUBURIKEESHON	LUBRICATION
KUROORAA	CRAWLER
MIRAARINGU	MIRRORING
PAATO	PART
HAIPAA	HYPER
BORUTEEJI	VOLTAGE
RUURA	RULER
MARASUKIINO	MARASCHINO
MANYUFAKUCHAA	MANUFACTURE
RIIBU	LEAVE
DAARIYA	DAHLIA
YUUZA	USER
KOKKUNII	COCKNEY
TAKUSHII	TAXI
POOKO	POCO
DAINAMOMEETAA	DYNAMOMETER
KUREETAA	CRATER
SANRUUMU	SUNROOM
PAAKA	PARKA
SUIITOHAATO	SWEETHEART
SUNOOKERINGU	SNORKELING
SAUSUPOO	SOUTHPAW
TAAPU	TARP
BOOISSHU	BOYISH
PAAFUUMU	PERFUME
HAAPU	HARP
ANEMOMEETAA	ANEMOMETER
SUPIIKA	SPEAKER
HOONINGU	HONING
NABIGEETO	NAVIGATE
AABITOREXIJAA	ARBITRAGER
DEXYUUTERIUMU	DEUTERIUM
DIREE	DELAY
FONIIMU	PHONEME
SUNUUKAA	SNOOKER
KOORUSUROO	COLESLAW
CHIIZU	CHEESE
ESUKAREETA	ESCALATOR
SUTOOMU	STORM
GYAZAA	GATHER
FIJIBIRITII	FEASIBILITY
INBURIIDINGU	INBREEDING
GURUUPINGU	GROUPING
FAVEERA	FAVELA
MUSSHUU	MONSIEUR
RAIAA	LYRE
HAATOBIITO	HEARTBEAT
NEETIVU	NATIVE
KONEKUTAA	CONNECTOR
HAATOWOOMINGU	HEARTWARMING
BIIKAA	BEAKER
TORIKKUSUTAA	TRICKSTER
MANIPYUREETA	MANIPULATOR
AMUURU	AMOUR
HOTTOKEEKI	HOTCAKE
WINJII	WING
MIRUWOOKII	MILWAUKEE
SUPOOTII	SPORTY
EEJINGU	AGING
BURIIZU	BREEZE
GEE	GAIA
AAJENSHII	URGENCY
EBORYUUSHON	EVOLUTION
AADOBAAKU	AARDVARK
TOONEEDO	TORNADO
KYARAKUTAA	CHARACTER
PAAKOREETA	PERCOLATOR
EKUSUPUROOJON	EXPLOSION
IGURUU	IGLOO
SUIIPAA	SWEEPER
RUUSAN	LUCERNE
MAIKUROKONPYUUTAA	MICROCOMPUTER
SAABO	SERVO
KIISUTOON	KEYSTONE
KUXOOTA	QUARTER
BOOA	BOULE
MAIKUROMEETAA	MICROMETER
SUPAAKURINGU	SPARKLING
DARAA	DOLLAR
HAAMONIKKU	HARMONIC
KONTORIBYUUSHON	CONTRIBUTION
VAACHARU	VIRTUAL
KUKKUU	CUCKOO
INPURIMENTEESHON	IMPLEMENTATION
KOOHIIBURAUN	COFFEE
SHISHIRII	SICILY
BEEBI	BABY
UEEBAA	WAIVER
PAA	PER
OOBAADORAIBU	OVERDRIVE
AACHICHOOKU	ARTICHOKE
WOOKINGU	WALKING
KAAVU	CURVE
DIIAANA	DIANA
REIPAA	RAPER
RUUBURU	LOUVRE
BUROWAA	BLOWER
AROOANSU	ALLOWANCE
MISUTEEKU	MISTAKE
PORONEEZU	POLONAISE
SENSEESHON	SENSATION
DOROAA	DRAWER
TORANSUMITTAA	TRANSMITTER
KARUGARII	CALGARY
GOOFA	GOPHER
NUUVOO	NOUVEAU
KYANPAA	CAMPER
DAINOSOO	DINOSAUR
BURASURII	BRASSERIE
SERUFII	SELFIE
BARYUU	VALUE
OOSUCHIN	AUSTIN
BAFFAADO	BUFFERED
REFUREKUTAA	REFLECTOR
GURUUMAA	GROOMER
ABOOTO	ABORT
TIIMU	TEAM
VAKEESHON	VACATION
GURUUVU	GROOVE
BURAAMAN	BRAHMAN
FIIJIBIRITII	FEASIBILITY
KOMINIKEESHON	COMMUNICATION
AABITA	ARBITER
SUTORIIMU	STREAM
REESHIKKU	LASIK
KYANBAA	CAMBER
WEFAASU	WAFERS
AASURI	EARTHLY
PORUTAAGAISUTO	POLTERGEIST
BANTOXUU	BANTU
BAUNDARII	BOUNDARY
PATAAN	PATTERN
AISUBUREIKAA	ICEBREAKER
YUNIHOOMU	UNIFORM
BUKKUMEEKAA	BOOKMAKER
IREEZAA	ERASER
REJISUTAA	REGISTER
OOJII	AUSSIE
KOONZU	CONES
ESUNOROJII	ETHNOLOGY
ARISUTOKURASHII	ARISTOCRACY
NANBAA	NUMBER
TORORINGAA	TROLLINGER
FURUUTI	FRUITY
DISSHAA	DISHER
BURITOO	BURRITO
KARUBONAARA	CARBONARA
KUXONTITII	QUANTITY
HYUUZU	FUSE
KARUKYUREETA	CALCULATOR
MANYUUBAA	MANEUVER
SAAKASU	CIRCUS
SAMAA	SUMMER
CHUUNA	TUNER
OOSORITII	AUTHORITY
DEMONSUTOREETAA	DEMONSTRATOR
KURUUPU	CROUP
MOHOOKU	MOHAWK
REARITII	RARITY
UIDOO	WIDOW
RIMAINDAA	REMINDER
SUKAISUKUREEPAA	SKYSCRAPER
PAAGORA	PERGOLA
KOODINEISHON	COORDINATION
KOOPU	COOP
TAN'NAA	TANNER
BIKUUNYA	VICUNA
YOOGI	YOGI
KOOGII	CORGI
YUUDORA	EUDORA
KURIININGU	CLEANING
SHERUTAA	SHELTER
ABEREEJI	AVERAGE
DEJIKEETO	DEDICATE
TSURII	TREE
TAAGETINGU	TARGETING
REIYAA	LAYER
MIIDIAMU	MEDIUM
KUROURAA	CRAWLER
BURAUZAA	BROWSER
REEYON	RAYON
KIIBOODO	KEYBOARD
KUXORITII	QUALITY
ORIJINARITII	ORIGINALITY
TSUIIDO	TWEED
BAIOGURAFII	BIOGRAPHY
FIITO	FEET
YUUZAA	USER
FURIKKAA	FLICKER
MONITAA	MONITOR
KURIOORU	CREOLE
GARAKUTOOSU	GALACTOSE
KARAA	COLLAR
DOOZU	DOSE
MARUTOOSU	MALTOSE
FANICHAA	FURNITURE
TORASUTII	TRUSTEE
PAKKEEJINGU	PACKAGING
HAAFUWEE	HALFWAY
MEDOREE	MEDLEY
APURUUBARU	APPROVAL
KAUNTAAINTERIJENSU	COUNTERINTELLIGENCE
BAABARIZUMU	BARBARISM
AKUSESHIBIRITII	ACCESSIBILITY
PUREEBAKKU	PLAYBACK
CHIIMU	TEAM
INTAVUXYUU	INTERVIEW
SAABERU	SABEL
CHOPPAA	CHOPPER
SHIIKUENSHINGU	SEQUENCING
UIIKUENDO	WEEKEND
ORUTAANATIBU	ALTERNATIVE
GURAMII	GRAMMY
PAWAAPOINTO	POWERPOINT
BAATIGO	VERTIGO
BATORAA	BUTLER
SENETAA	SENATOR
DISUKOTEEKU	DISCOTHEQUE
SEPAREETSU	SEPARATES
RUUTIN	ROUTINE
FOOMEESHON	FORMATION
KONDOOMU	CONDOM
KUOOTARII	QUARTERLY
KATTAWEE	CUTAWAY
SUKUEAA	SQUARE
SEKYURITAIZEESHON	SECURITIZATION
TEOKURASHII	THEOCRACY
RENOBEESHON	RENOVATION
FORUDAA	FOLDER
KONFIGYUREESHON	CONFIGURATION
HYUUMANITII	HUMANITY
RARII	RALLY
CHOOKU	CHALK
PIRUSUNAA	PILSNER
AJAIRUU	AGILE
EAPOOTO	AIRPORT
UOOTAAKURESU	WATERCRESS
TATOXUU	TATTOO
MESSEEJI	MESSAGE
AATIKYUREESHON	ARTICULATION
INTAANASHONARAIZEESHON	INTERNATIONALIZATION
BEETOOBEN	BEETHOVEN
SHOOTONINGU	SHORTENING
ONWAADO	ONWARD
HAAN	KHAN
PAINAPOO	PINEAPPLE
HOORUSERAA	WHOLESALER
PIIKOKKU	PEACOCK
REKOMENDEESHON	RECOMMENDATION
CHEAPAASON	CHAIRPERSON
HIRUBIRII	HILLBILLY
PIIRINGU	PEELING
KASUTAMAA	CUSTOMER
BARUBEERA	BARBERA
HAAKYURIIZU	HERCULES
RIBEETO	REBATE
FIKISACHIIFU	FIXATIVE
JAAZUU	JAZZ
REZAA	LEATHER
JUERII	JEWELRY
ANDAAWEA	UNDERWEAR
KUIIN	QUEEN
SUTIIPURUCHEISU	STEEPLECHASE
SUKARUPUCHAA	SCULPTURE
KURUUNAA	CROONER
KYACCHAA	CATCHER
KOMISSHONAA	COMMISSIONER
PAASUPEKUTIBU	PERSPECTIVE
SAAMOMEETAA	THERMOMETER
SOFUTOBOORU	SOFTBALL
JOGAA	JOGGER
RIMAAKU	REMARK
FAAZAA	FATHER
OOBU	ORB
KAUNTAAPAATO	COUNTERPART
YOOGURUTO	YOGURT
MAISUTAA	MEISTER
WANABII	WANNABE
ROOMU	LOAM
KURAKKAA	CRACKER
INTAAMEDIA	INTERMEDIA
DANDII	DANDY
MAROODAA	MARAUDER
TORORII	TROLLEY
IIRUDO	YIELD
KAAKASU	CARCASS
TOPPAA	TOPPER
REEDORU	LADLE
BEEPAAWEA	VAPORWARE
HIITA	HEATER
KEESUWAAKU	CASEWORK
REEDIISU	LADIES'
ERUBOO	ELBOW
KIIHOORU	KEYHOLE
POTTOHOORU	POTHOLE
JIIZASU	JESUS
MAZAARANDO	MOTHERLAND
KOYOOTE	COYOTE
KOOCHI	COACH
BURUWARII	BREWERY
SUXIITII	SWEETIE
RUUTSU	ROOTS
AMERIKANAIZEESHON	AMERICANIZATION
NASSOO	NASSAU
OIRII	OILY
BOOKARU	VOCAL
SUTEEKUSU	STAKES
GURIIFU	GRIEF
RUU	ROUX
KATTAA	CUTTER
MONOTOON	MONOTONE
RIISU	WREATH
JASUPAA	JASPER
REENBOO	RAINBOW
KOOTOHAUSU	COURTHOUSE
TOOGO	TOGO
RITORIIBU	RETRIEVING
AARIYAA	ALIYAH
DORIIMINGU	DREAMING
GUROOBARIZEESHON	GLOBALIZATION
BYUUAA	VIEWER
EKUSUKURUUSHIBU	EXCLUSIVE
KONBAASU	CONVERSE
FIRANSUROPII	PHILANTHROPY
TSUMOROO	TOMORROW
SUMOKAA	SMOKER
KURUUZAA	CRUISER
KURARITII	CLARITY
TAARIBAAN	TALIBAN
AAMINGU	ARMING
NANOMEETAA	NANOMETER
SUUBABAIZA	SUPERVISOR
EABOOTO	AIRBOAT
TAABOTTO	TURBOT
PAASHISUTENSU	PERSISTENCE
SAATII	THIRTY
FINAARE	FINALE
FEARIIRANDO	FAIRYLAND
SUTOON'UEA	STONEWARE
RIKONFAAMU	RECONFIRM
BOBBUSUREE	BOBSLED
EKIZOOSUTO	EXHAUST
RIIGAA	LEAGUER
WARUKYUURE	WALKURE
AAJANTO	URGENT
TOREJARAA	TREASURER
WINTOFUUKU	WINDHOEK
REERU	RAIL
MAADAA	MURDER
JIOROJII	GEOLOGY
GUUPAN	PUNCH
PUROSHIIJA	PROCEDURE
KUURANTO	COOLANT
KOOMA	COMA
PANKEEKI	PANCAKE
KONSARUTEESHON	CONSULTATION
IIMAKKUSU	EMACS
ANCHINOMII	ANTINOMY
SEETAA	SWEATER
OODITORIAMU	AUDITORIUM
MAKKUREEKAA	MUCKRAKER
EMOOTIKON	EMOTICON
BYUU	VIEW
SHABII	SHABBY
AKADEMII	ACADEMY
INSHUREETA	INSULATOR
OOBITAA	ORBITER
POOTARU	PORTAL
VIKUUNYA	VICUNA
SAADO	THIRD
JIPPAA	ZIPPER
ZOON	ZONE
ESUKIMOO	ESKIMO
KARIPAA	CALIPER
HYUUMOA	HUMOUR
KOMAASU	COMMERCE
KOOCHIN	COCHIN
SOOSHARIZEESHON	SOCIALIZATION
HANMAA	HAMMER
PAASA	PARSER
NII	KNEE
PIGUMII	PYGMY
MOOTSUXARUTO	MOZART
MEEFURAWAA	MAYFLOWER
INDENTEESHON	INDENTATION
IIMEXERU	EMAIL
KOMYUNIKEETA	COMMUNICATOR
DABURUSUPIIKU	DOUBLESPEAK
SUPINAA	SPINNER
POOSHON	PORTION
CHUUBINGU	TUBING
REGUHOON	LEGHORN
SHIIDO	SEED
SAPURAIYAA	SUPPLIER
RIIPAA	REAPER
SUWEE	SWAY
SUMEAA	SMEAR
SUPAISHII	SPICY
TAAMINEETAA	TERMINATOR
UUSUTEDDO	WORSTED
RITERACHAA	LITERATURE
RAITAA	WRITER
SARUUN	SALOON
RIFUREKUTAA	REFLECTOR
BINTEEJI	VINTAGE
HAADOBOODO	HARDBOARD
EICHITIIEMUERU	HTML
RYUUTO	LUTE
MASUTAABEESHON	MASTURBATION
PUREEYA	PLAYER
AUTOFUROO	OUTFLOW
FAIAA	FIRE
RIBIDOO	LIBIDO
PAADERE	PADRE
MAMII	MOMMY
RIBOOKU	REVOKE
EKUSUTAANARU	EXTERNAL
JUUSU	JUICE
PANIINI	PANINI
BAAGEN	BARGAIN
SURESSHAA	THRESHER
PAARII	PEARLY
KOOKUSU	COKES
MONSERAA	MONTSERRAT
FAIYAAUOORU	FIREWALL
BEHIIMOSU	BEHEMOTH
KONPYUSAABU	COMPUSERVE
ENAJII	ENERGY
SOTEE	SAUTE
FAIAAWOORU	FIREWALL
KYUU	QUEUE
FURUUTII	FRUITY
MENORAA	MENORAH
TOREERA	TRAILER
EKUSUPUROORAA	EXPLORER
MEEJAA	MAJOR
AAKIOROJII	ARCHAEOLOGY
KURIEETIBITII	CREATIVITY
BURIIFINGU	BRIEFING
POPPII	POPPY
KONPYUUTINGU	COMPUTING
FASHIRITEETA	FACILITATOR
RISUNAA	LISTENER
NAPAAMU	NAPALM
SORITEERU	SOLITAIRE
MOORUDO	MOLD
HOOMURESU	HOMELESS
WAAKUSHOPPU	WORKSHOP
RAMARRAA	RAMALLAH
TSUURUBAA	TOOLBAR
KYANOPII	CANOPY
PUROBABIRITII	PROBABILITY
REBYUAA	REVIEWER
BURANDII	BRANDY
FASUNAA	FASTENER
TOMAHOOKU	TOMAHAWK
ENKOODINGU	ENCODING
GEEMU	GAME
JUUSU	DEUCE
SUWIITOHAATO	SWEETHEART
TORUTIIJA	TORTILLA
ANPAASANDO	AMPERSAND
UUPII	WHOOPIE
EEJIRESU	AGELESS
MUUN	MOON
GUROOSU	GROSS
DIAANA	DIANA
TEEPU	TAPE
ESUPAA	ESPER
FUREEKU	FLAKE
OPOCHUNITII	OPPORTUNITY
AKOODO	ACCORD
ARUBIINO	ALBINO
MERII	MERRY
ROKOMOOTIBU	LOCOMOTIVE
HAABESUTAA	HARVESTER
TORAKUTAA	TRACTOR
KOMEDII	COMEDY
SURII	THREE
RUMINOORU	LUMINOL
UNDIINE	UNDINE
GYANGUSUTAA	GANGSTER
MEIJAA	MAJOR
IISA	ETHER
OOSORIZEESHON	AUTHORIZATION
BOIRAA	BOILER
FEAUEE	FAIRWAY
BAABUSHUKA	BABUSHKA
SUKURIMEEJI	SCRIMMAGE
SHIENAA	SIENNA
BIJII	BUSY
