フェミニニティ	femininity	F_EH2_M_AH0_N_IH1_N_AH0_T_IY0
ダックスフント	dachshund	D_AA1_K_S_HH_UH2_N_D
フューグ	fugue	F_Y_UW1_G
レアル	real	R_IY1_L
ルーレット	roulette	R_UW0_L_EH1_T
ファルス	farce	F_AA1_R_S
ソファ	sofa	S_OW1_F_AH0
フレア	flare	F_L_EH1_R
デイパック	day|pack	D_EY1|P_AE1_K
ハーブティ	herb|tea	ER1_B|T_IY1
コネクタ	connector	K_AH0_N_EH1_K_T_ER0
オフィスコンピュータ	office|computer	AO1_F_AH0_S|K_AH0_M_P_Y_UW1_T_ER0
トラフィックフロー	traffic|flow	T_R_AE1_F_IH0_K|F_L_OW1
イヴニング	evening	IY1_V_N_IH0_NG
コンフォタブル	comfortable	K_AH1_M_F_ER0_T_AH0_B_AH0_L
コンファタブル	comfortable	K_AH1_M_F_ER0_T_AH0_B_AH0_L
カーキー	khaki	K_AA1_K_IY0
コイタス	coitus	K_OY1_T_AH0_S
レガシー	legacy	L_EH1_G_AH0_S_IY0
クロスボウ	crossbow	K_R_AO1_S_B_OW2
ディスインフレーション	disinflation	D_IH2_S_IH0_N_F_L_EY1_SH_AH0_N
ガモット	gamut	G_AE1_M_AH0_T
ギャマ	gamut	G_AE1_M_AH0_T
コーディネーター	coordinator	K_OW0_AO1_R_D_AH0_N_EY2_T_ER0
アッラー	allah	AA1_L_AH0
ルミネセンス	luminescence	L_UW2_M_AH0_N_EH1_S_AH0_N_S
カタストロフィ	catastrophe	K_AH0_T_AE1_S_T_R_AH0_F_IY0
キャタストロフィ	catastrophe	K_AH0_T_AE1_S_T_R_AH0_F_IY0
ベランダ	veranda	V_ER0_AE1_N_D_AH0
アイスブレイカー	icebreaker	AY1_S_B_R_EY2_K_ER0
イグニション	ignition	IH2_G_N_IH1_SH_AH0_N
スエード	suede	S_W_EY1_D
ムッシュ	monsieur	M_AH0_S_Y_ER1
アーケイド	arcade	AA0_R_K_EY1_D
ナレッジマネジメント	knowledge|management	N_AA1_L_AH0_JH|M_AE1_N_AH0_JH_M_AH0_N_T
シャーシ	chassis	CH_AE1_S_IY0
シャシ	chassis	CH_AE1_S_IY0
シャーシー	chassis	CH_AE1_S_IY0
カルナバル	carnival	K_AA1_R_N_AH0_V_AH0_L
ワイヤ	wire	W_AY1_ER0
ワイア	wire	W_AY1_ER0
デザイナーベイビー	designer|baby	D_IH0_Z_AY1_N_ER0|B_EY1_B_IY0
リュブリャナ	ljubljana	L_Y_UW1_B_L_Y_AA0_N_AH0
マシュマロ	marshmallow	M_AA1_R_SH_M_EH2_L_OW0
クオリファイングトーナメント	qualifying|tournament	K_W_AA1_L_AH0_F_AY2_IH0_NG|T_UH1_R_N_AH0_M_AH0_N_T
チルト	tilt	T_IH1_L_T
ソーシャル	social	S_OW1_SH_AH0_L
ソシャル	social	S_OW1_SH_AH0_L
トグル	toggle	T_AA1_G_AH0_L
モナミ	mon|ami	M_OW1_N|AA1_M_IY0
ピスキー	pixie	P_IH1_K_S_IY0
ピクシー	pixie	P_IH1_K_S_IY0
ブュー	view	V_Y_UW1
リダイヤル	redial	R_IY0_D_AY1_AH0_L
リダイアル	redial	R_IY0_D_AY1_AH0_L
ブールバール	boulevard	B_UH1_L_AH0_V_AA2_R_D
ブールヴァール	boulevard	B_UH1_L_AH0_V_AA2_R_D
クロスステッチ	cross|stitch	K_R_AO1_S|S_T_IH1_CH
チャネル	channel	CH_AE1_N_AH0_L
イディオム	idiom	IH1_D_IY0_AH0_M
ナッチョ	nacho	N_AE1_CH_OW2
タブブラウザ	tab|browser	T_AE1_B|B_R_AW1_Z_ER0
ティスティング	tasting	T_EY1_S_T_IH0_NG
テースティング	tasting	T_EY1_S_T_IH0_NG
ダークサージャン	dark|surgeon	D_AA1_R_K|S_ER1_JH_AH0_N
トガ	toga	T_OW1_G_AH0
ワガドゥーグー	ouagadougou	W_AA2_G_AH0_D_UW1_G_UW0
ワガドゥグ	ouagadougou	W_AA2_G_AH0_D_UW1_G_UW0
レンタルサーバー	rental|server	R_EH1_N_T_AH0_L|S_ER1_V_ER0
ルーティーン	routine	R_UW0_T_IY1_N
ルーチン	routine	R_UW0_T_IY1_N
ヒューリスティクス	heuristics	HH_Y_UH0_R_IH1_S_T_IH0_K_S
ヒューリスティックス	heuristics	HH_Y_UH0_R_IH1_S_T_IH0_K_S
ウオー	war	W_AO1_R
オーソリティー	authority	AH0_TH_AO1_R_AH0_T_IY0
オオトリテエ	authority	AH0_TH_AO1_R_AH0_T_IY0
チャーム	charm	CH_AA1_R_M
ベイオネット	bayonet	B_EY1_AH0_N_EH2_T
バヨネット	bayonet	B_EY1_AH0_N_EH2_T
バイポーラー	bipolar	B_AY0_P_OW1_L_ER0
バプチズモ	baptism	B_AE1_P_T_IH0_Z_AH0_M
バプティズモ	baptism	B_AE1_P_T_IH0_Z_AH0_M
バプティズム	baptism	B_AE1_P_T_IH0_Z_AH0_M
バプテスマ	baptism	B_AE1_P_T_IH0_Z_AH0_M
セーブル	sable	S_EY1_B_AH0_L
サブレー	sable	S_EY1_B_AH0_L
ヨウグルト	yogurt	Y_OW1_G_ER0_T
ヨーガート	yogurt	Y_OW1_G_ER0_T
ワンウエー	one|way	W_AH1_N|W_EY1
ワンウェイ	one|way	W_AH1_N|W_EY1
ワンウェー	one|way	W_AH1_N|W_EY1
アシンメトリックデザイン	asymmetric|design	EY2_S_AH0_M_EH1_T_R_IH0_K|D_IH0_Z_AY1_N
アポトーシス	apoptosis	AE2_P_AO0_P_T_OW1_S_IH0_Z
クリスタルマイクロフォン	crystal|microphone	K_R_IH1_S_T_AH0_L|M_AY1_K_R_AH0_F_OW2_N
キューリー	curie	K_Y_UH0_R_IY1
ノウ	no	N_OW1
モリプデン	molybdenum	M_AH0_L_IH1_B_D_IH0_N_AH0_M
インスピレーション	inspiration	IH2_N_S_P_ER0_EY1_SH_AH0_N
アーガル	argyle	AA1_R_G_AY2_L
エンダイブ	endive	EH1_N_D_IH0_V
ギャレー	galley	G_AE1_L_IY0
ゲラ	galley	G_AE1_L_IY0
ガリー	galley	G_AE1_L_IY0
グーパン	punch	P_AH1_N_CH
ポンチ	punch	P_AH1_N_CH
アセンブラ	assembler	AH0_S_EH1_M_B_L_ER0
チャリティコンサート	charity|concert	CH_EH1_R_IH0_T_IY0|K_AA1_N_S_ER0_T
キャスティングボート	casting|vote	K_AE1_S_T_IH0_NG|V_OW1_T
アストゥラノマ	astronomer	AH0_S_T_R_AA1_N_AH0_M_ER0
セクシュアルハラスメント	sexual|harassment	S_EH1_K_SH_UW0_AH0_L|HH_ER0_AE1_S_M_AH0_N_T
インフィニティ	infinity	IH2_N_F_IH1_N_IH0_T_IY0
チームメート	teammate	T_IY1_M_EY2_T
シャドーマスク	shadow|mask	SH_AE1_D_OW2|M_AE1_S_K
ラブコメディー	love|comedy	L_AH1_V|K_AA1_M_AH0_D_IY0
グラン	grand	G_R_AE1_N_D
ボディーアート	body|art	B_AA1_D_IY0|AA1_R_T
アウトゥワッズ	outwards	AW1_T_W_ER0_D_Z
モダリティ	modality	M_AH0_D_AE1_L_AH0_T_IY0
フェバリット	favorite	F_EY1_V_ER0_IH0_T
フェーバリット	favorite	F_EY1_V_ER0_IH0_T
フレート	freight	F_R_EY1_T
ロータリードライヤー	rotary|dryer	R_OW1_T_ER0_IY0|D_R_AY1_ER0
シャルキュトリー	charcuterie	SH_AA1_R_K_UH0_T_R_IY2
マネージメントゲーム	management|game	M_AE1_N_AH0_JH_M_AH0_N_T|G_EY1_M
メロデー	melody	M_EH1_L_AH0_D_IY0
メロディー	melody	M_EH1_L_AH0_D_IY0
ステレオタイプ	stereotype	S_T_EH1_R_IY0_OW0_T_AY2_P
ドライバ	driver	D_R_AY1_V_ER0
ヌーヴォーロマン	nouveau|roman	N_UW2_V_OW1|R_OW1_M_AH0_N
ヌーヴォロマン	nouveau|roman	N_UW2_V_OW1|R_OW1_M_AH0_N
カーボベルデ	cape|verde	K_EY1_P|V_ER1_D_IY0
カボヴェルデ	cape|verde	K_EY1_P|V_ER1_D_IY0
カーボヴェルデ	cape|verde	K_EY1_P|V_ER1_D_IY0
アウエイ	away	AH0_W_EY1
アウエー	away	AH0_W_EY1
アウェー	away	AH0_W_EY1
ウィンブルドン	wimbledon	W_IH1_M_B_AH0_L_D_AH0_N
クイン	queen	K_W_IY1_N
クィーン	queen	K_W_IY1_N
スイート	sweet	S_W_IY1_T
スィート	sweet	S_W_IY1_T
アイデアマン	idea|man	AY0_D_IY1_AH0|M_AE1_N
ウイークポイント	weak|point	W_IY1_K|P_OY1_N_T
ネームサーバ	name|server	N_EY1_M|S_ER1_V_ER0
ラッテアート	latte|art	L_AA1_T_EY2|AA1_R_T
ボッブスレー	bobsled	B_AA1_B_S_L_EH2_D
フラッシュメモリー	flash|memory	F_L_AE1_SH|M_EH1_M_ER0_IY0
トリッパ	tripe	T_R_AY1_P
ミックスト	mixed	M_IH1_K_S_T
バーレーワイン	barley|wine	B_AA1_R_L_IY0|W_AY1_N
ビシチェ	bustier	B_AH1_S_T_Y_ER0
ビュスチエ	bustier	B_AH1_S_T_Y_ER0
レボルバー	revolver	R_IH0_V_AA1_L_V_ER0
ミアリ	merely	M_IH1_R_L_IY0
シャドウイング	shadowing	SH_AE1_D_OW0_IH0_NG
シャドゥイング	shadowing	SH_AE1_D_OW0_IH0_NG
ヤール	yard	Y_AA1_R_D
シヤン	schon	SH_AA1_N
ラスタスキャン	raster|scan	R_AE1_S_T_ER0|S_K_AE1_N
ショウ	show	SH_OW1
コントローラー	controller	K_AH0_N_T_R_OW1_L_ER0
ビニールクロス	vinyl|cloth	V_AY1_N_AH0_L|K_L_AO1_TH
クリエーティビティー	creativity	K_R_IY2_EY0_T_IH1_V_AH0_T_IY0
クリエーティビティ	creativity	K_R_IY2_EY0_T_IH1_V_AH0_T_IY0
クリエイティビティ	creativity	K_R_IY2_EY0_T_IH1_V_AH0_T_IY0
ツイート	tweet	T_W_IY1_T
ウェディングリング	wedding|ring	W_EH1_D_IH0_NG|R_IH1_NG
レポーター	reporter	R_IH0_P_AO1_R_T_ER0
ヴァイス	vise	V_AY1_S
エーカー	acre	EY1_K_ER0
スクールメート	schoolmate	S_K_UW1_L_M_EY2_T
ワディ	wadi	W_AA1_D_IY2
シャーマニズム	shamanism	SH_EY1_M_AH0_N_IH2_Z_M
ネイティブアメリカン	native|american	N_EY1_T_IH0_V|AH0_M_EH1_R_IH0_K_AH0_N
ウェイ	way	W_EY1
ウエー	way	W_EY1
アイドルギア	idle|gear	AY1_D_AH0_L|G_IH1_R
ボディガード	bodyguard	B_AA1_D_IY0_G_AA2_R_D
プレーグラウンド	playground	P_L_EY1_G_R_AW2_N_D
プレイグラウンド	playground	P_L_EY1_G_R_AW2_N_D
プレーグランド	playground	P_L_EY1_G_R_AW2_N_D
ファンファーレ	fanfare	F_AE1_N_F_EH2_R
ケレオソート	creosote	K_R_IY1_AH0_S_OW2_T
トラヒックパラメータ	traffic|parameter	T_R_AE1_F_IH0_K|P_ER0_AE1_M_AH0_T_ER0
シングルファザー	single|father	S_IH1_NG_G_AH0_L|F_AA1_DH_ER0
ラトビア	latvia	L_AE1_T_V_IY0_AH0
エスタブリシュメント	establishment	IH0_S_T_AE1_B_L_IH0_SH_M_AH0_N_T
イスタブリッシュメント	establishment	IH0_S_T_AE1_B_L_IH0_SH_M_AH0_N_T
パロディー	parody	P_EH1_R_AH0_D_IY0
セント	saint	S_EY1_N_T
セイント	saint	S_EY1_N_T
ウラノス	uranus	Y_UW1_R_AH0_N_AH0_S
スェット	sweat	S_W_EH1_T
スエット	sweat	S_W_EH1_T
テレピン	terebene	T_ER1_R_AH0_B_IH0_N
アクアマリン	aquamarine	AA2_K_W_AH0_M_ER0_IY1_N
プレイアデス	pleiades	P_L_IY1_AH0_D_IY2_Z
プレヤデス	pleiades	P_L_IY1_AH0_D_IY2_Z
プレイアディ	pleiades	P_L_IY1_AH0_D_IY2_Z
トランジスター	transistor	T_R_AE0_N_Z_IH1_S_T_ER0
シャルマン	charming	CH_AA1_R_M_IH0_NG
アプリケーションサーバー	application|server	AE2_P_L_AH0_K_EY1_SH_AH0_N|S_ER1_V_ER0
アドゥバタイズメント	advertisement	AE0_D_V_ER1_T_AH0_Z_M_AH0_N_T
ブラックコメディー	black|comedy	B_L_AE1_K|K_AA1_M_AH0_D_IY0
テンポラリー	temporary	T_EH1_M_P_ER0_EH2_R_IY0
アクセント	accent	AH0_K_S_EH1_N_T
リフレイン	refrain	R_IH0_F_R_EY1_N
リフレーン	refrain	R_IH0_F_R_EY1_N
ファッティ	fatty	F_AE1_T_IY0
ジョッキ	jug	JH_AH1_G
アレイプロセッサ	array|processor	ER0_EY1|P_R_AA1_S_EH2_S_ER0
キノ	keno	K_IY1_N_OW0
ファド	fad	F_AE1_D
ボイシング	voicing	V_OY1_S_IH0_NG
モジュラーケーブル	modular|cable	M_AO1_JH_AH0_L_ER0|K_EY1_B_AH0_L
コンテンツデリバリーネットワーク	contents|delivery|network	K_AA1_N_T_EH0_N_T_S|D_IH0_L_IH1_V_ER0_IY0|N_EH1_T_W_ER2_K
サンクチュアリー	sanctuary	S_AE1_NG_K_CH_UW0_EH2_R_IY0
ドライマティーニ	dry|martini	D_R_AY1|M_AA0_R_T_IY1_N_IY0
アヤトラ	ayatollah	AY2_AH0_T_OW1_L_AH0
ウィーク	week	W_IY1_K
アメイジング	amazing	AH0_M_EY1_Z_IH0_NG
ブラシ	brush	B_R_AH1_SH
コンベンショナルメモリー	conventional|memory	K_AH0_N_V_EH1_N_SH_AH0_N_AH0_L|M_EH1_M_ER0_IY0
ラボラトリ	laboratory	L_AE1_B_R_AH0_T_AO2_R_IY0
レポジトリ	repository	R_IY0_P_AA1_Z_AH0_T_AO2_R_IY0
レポジトリー	repository	R_IY0_P_AA1_Z_AH0_T_AO2_R_IY0
リポジトリ	repository	R_IY0_P_AA1_Z_AH0_T_AO2_R_IY0
ラクトース	lactose	L_AE1_K_T_OW0_S
ジュート	jute	JH_UW1_T
マネージメントサイクル	management|cycle	M_AE1_N_AH0_JH_M_AH0_N_T|S_AY1_K_AH0_L
ルックス	lux	L_AH1_K_S
ポエット	poet	P_OW1_AH0_T
パナマシティー	panama|city	P_AE1_N_AH0_M_AA2|S_IH1_T_IY0
バリアフリー	barrier|free	B_AE1_R_IY0_ER0|F_R_IY1
ディジット	digit	D_IH1_JH_AH0_T
バイポーラートランジスター	bipolar|transistor	B_AY0_P_OW1_L_ER0|T_R_AE0_N_Z_IH1_S_T_ER0
ウオン	won	W_AH1_N
リーヒンムイ	li|hing|mui	L_IY1|HH_IH1_NG|M_UW1_IH0
シンタクス	syntax	S_IH1_N_T_AE2_K_S
カスタマエンジニア	customer|engineer	K_AH1_S_T_AH0_M_ER0|EH1_N_JH_AH0_N_IH1_R
バルハラ	valhalla	V_AE2_L_HH_AE1_L_AH0
シグニチャー	signature	S_IH1_G_N_AH0_CH_ER0
シグナチャ	signature	S_IH1_G_N_AH0_CH_ER0
シグネチャ	signature	S_IH1_G_N_AH0_CH_ER0
シグナチャー	signature	S_IH1_G_N_AH0_CH_ER0
シグニチャ	signature	S_IH1_G_N_AH0_CH_ER0
システムパラメタ	system|parameter	S_IH1_S_T_AH0_M|P_ER0_AE1_M_AH0_T_ER0
システムパラメータ	system|parameter	S_IH1_S_T_AH0_M|P_ER0_AE1_M_AH0_T_ER0
システムパラメーター	system|parameter	S_IH1_S_T_AH0_M|P_ER0_AE1_M_AH0_T_ER0
マンネリズム	mannerism	M_AE1_N_ER0_IH2_Z_AH0_M
ゴールデンウイーク	golden|week	G_OW1_L_D_AH0_N|W_IY1_K
アースクエーク	earthquake	ER1_TH_K_W_EY2_K
アースクウェイク	earthquake	ER1_TH_K_W_EY2_K
アースクェイク	earthquake	ER1_TH_K_W_EY2_K
オニックス	onyx	AA1_N_IH0_K_S
リューマチ	rheumatism	R_UW1_M_AH0_T_IH2_Z_AH0_M
リウマチス	rheumatism	R_UW1_M_AH0_T_IH2_Z_AH0_M
リュウマチ	rheumatism	R_UW1_M_AH0_T_IH2_Z_AH0_M
モーションピクチャー	motion|picture	M_OW1_SH_AH0_N|P_IH1_K_CH_ER0
イェティー	yeti	Y_EH1_T_IY0
アカンパニ	accompany	AH0_K_AH1_M_P_AH0_N_IY0
アカムパニ	accompany	AH0_K_AH1_M_P_AH0_N_IY0
リュックザック	rucksack	R_AH1_K_S_AE2_K
ルックザック	rucksack	R_AH1_K_S_AE2_K
ルックサック	rucksack	R_AH1_K_S_AE2_K
フイジカル	physical	F_IH1_Z_IH0_K_AH0_L
ユニーク	unique	Y_UW0_N_IY1_K
ロイアリティー	royalty	R_OY1_AH0_L_T_IY0
ロイアルティー	royalty	R_OY1_AH0_L_T_IY0
ロイアリティ	royalty	R_OY1_AH0_L_T_IY0
ロイヤリティー	royalty	R_OY1_AH0_L_T_IY0
ローヤリティー	royalty	R_OY1_AH0_L_T_IY0
ロイアルティ	royalty	R_OY1_AH0_L_T_IY0
ロヤリティー	royalty	R_OY1_AH0_L_T_IY0
ローヤリティ	royalty	R_OY1_AH0_L_T_IY0
ロイヤルティー	royalty	R_OY1_AH0_L_T_IY0
ローヤルティー	royalty	R_OY1_AH0_L_T_IY0
ロイヤルティ	royalty	R_OY1_AH0_L_T_IY0
ホルダー	holder	HH_OW1_L_D_ER0
カセロール	casserole	K_AE1_S_ER0_OW2_L
メーン	main	M_EY1_N
ヒューマニズム	humanism	HH_Y_UW1_M_AH0_N_IH2_Z_AH0_M
ギロピタ	gyros	JH_AY1_R_OW2_Z
スーパ	super	S_UW1_P_ER0
カートゥーン	cartoon	K_AA0_R_T_UW1_N
ウインナーワルツ	vienna|waltz	V_IY0_EH1_N_AH0|W_AO1_L_T_S
アクセサリー	accessory	AE0_K_S_EH1_S_ER0_IY0
インベステメントバンク	investment|bank	IH2_N_V_EH1_S_T_M_AH0_N_T|B_AE1_NG_K
デリケート	delicate	D_EH1_L_AH0_K_AH0_T
ダイバーウォッチ	diver|watch	D_AY1_V_ER0_Z|W_AA1_CH
コーパイロット	copilot	K_OW1_P_AY0_L_AH0_T
キャンプファイア	campfire	K_AE1_M_P_F_AY2_ER0
キャンプファイヤー	campfire	K_AE1_M_P_F_AY2_ER0
ウォッチドッグタイマ	watchdog|timer	W_AA1_CH_D_AO2_G|T_AY1_M_ER0
アセンブリ	assembly	AH0_S_EH1_M_B_L_IY0
アセンブリー	assembly	AH0_S_EH1_M_B_L_IY0
ベスト	best	B_EH1_S_T
ルーティンワーク	routine|work	R_UW0_T_IY1_N|W_ER1_K
ルーティーンワーク	routine|work	R_UW0_T_IY1_N|W_ER1_K
ビバ	beaver	B_IY1_V_ER0
ビーバ	beaver	B_IY1_V_ER0
ジェネレータ	generator	JH_EH1_N_ER0_EY2_T_ER0
エーデルヴァイス	edelweiss	EY1_D_AH0_L_V_AY2_S
エーデルバイス	edelweiss	EY1_D_AH0_L_V_AY2_S
エージレス	ageless	EY1_JH_L_AH0_S
アーチャー	archer	AA1_R_CH_ER0
カップラ	coupler	K_AH1_P_L_ER0
カップラー	coupler	K_AH1_P_L_ER0
カプラー	coupler	K_AH1_P_L_ER0
プロダクティヴ	productive	P_R_AH0_D_AH1_K_T_IH0_V
スパゲティウエスタン	spaghetti|western	S_P_AH0_G_EH1_T_IY0|W_EH1_S_T_ER0_N
シャマン	shaman	SH_EY1_M_AH0_N
リプリケーション	replication	R_EH2_P_L_IH0_K_EY1_SH_AH0_N
バイオリニスト	violinist	V_AY0_AH0_L_IH1_N_AH0_S_T
エスニシティ	ethnicity	EH0_TH_N_IH1_S_IH0_T_IY0
フィランソロピー	philanthropy	F_IH0_L_AE1_N_TH_R_AH0_P_IY0
スケジューラ	scheduler	S_K_EH1_JH_UH0_L_ER0
バーチャルマネー	virtual|money	V_ER1_CH_UW0_AH0_L|M_AH1_N_IY0
パッキング	packing	P_AE1_K_IH0_NG
ウィニングボール	winning|ball	W_IH1_N_IH0_NG|B_AO1_L
コミュニティセンター	community|center	K_AH0_M_Y_UW1_N_AH0_T_IY0|S_EH1_N_T_ER0
ウエブ	web	W_EH1_B
ウェブ	web	W_EH1_B
レフリー	referee	R_EH2_F_ER0_IY1
キャスケード	cascade	K_AE0_S_K_EY1_D
ウエットスーツ	wet|suit	W_EH1_T|S_UW1_T
ウインドブレーカー	wind|breaker	W_AY1_N_D|B_R_EY1_K_ER0
コンピューターシステム	computer|system	K_AH0_M_P_Y_UW1_T_ER0|S_IH1_S_T_AH0_M
セキュリティ	security	S_IH0_K_Y_UH1_R_AH0_T_IY0
アウトリガ	outrigger	AW1_T_R_IH2_G_ER0
レヴュー	review	R_IY2_V_Y_UW1
イランド	eland	IY1_L_AH0_N_D
バンコマイシン	vancomycin	V_AE2_N_K_OW0_M_AY1_S_IH0_N
クオリティーオブライフ	quality|of|life	K_W_AA1_L_AH0_T_IY0|AH1_V|L_AY1_F
サーモメータ	thermometer	TH_ER0_M_AA1_M_AH0_T_ER0
リッパー	ripper	R_IH1_P_ER0
ベクトル	vector	V_EH1_K_T_ER0
ベクタ	vector	V_EH1_K_T_ER0
シングルズ	singles	S_IH1_NG_G_AH0_L_Z
カーテンウオール	curtain|wall	K_ER1_T_AH0_N|W_AO1_L
サーガ	saga	S_AA1_G_AH0
スウィーツ	sweets	S_W_IY1_T_S
クラウンギア	crown|gear	K_R_AW1_N|G_IH1_R
サーバサイド	server|side	S_ER1_V_ER0|S_AY1_D
インポシブル	impossible	IH2_M_P_AA1_S_AH0_B_AH0_L
プラーザ	plaza	P_L_AA1_Z_AH0
ロッキングチェアー	rocking|chair	R_AA1_K_IH0_NG|CH_EH1_R
コンプリション	completion	K_AH0_M_P_L_IY1_SH_AH0_N
ノーブレスオブリージ	noblesse|oblige	N_OW0_B_L_EH1_S|AH0_B_L_AY1_JH
ノーブレスオブリージュ	noblesse|oblige	N_OW0_B_L_EH1_S|AH0_B_L_AY1_JH
ノブレスオブリージュ	noblesse|oblige	N_OW0_B_L_EH1_S|AH0_B_L_AY1_JH
アウトブレイク	outbreak	AW1_T_B_R_EY2_K
ラディカル	radical	R_AE1_D_IH0_K_AH0_L
イスラム	islam	IH2_S_L_AA1_M
ファーストフード	fast|food	F_AE1_S_T|F_UW1_D
シェアウェア	shareware	SH_EH1_R_W_EH2_R
ウォークインクローゼット	walk-in|closet	W_AO1_K_IH2_N|K_L_AA1_Z_AH0_T
ウオークインクロゼット	walk-in|closet	W_AO1_K_IH2_N|K_L_AA1_Z_AH0_T
ウオークインクローゼット	walk-in|closet	W_AO1_K_IH2_N|K_L_AA1_Z_AH0_T
ピュア	pure	P_Y_UH1_R
フライングバットレス	flying|buttress	F_L_AY1_IH0_NG|B_AH1_T_R_AH0_S
ネガディブリスト	negative|list	N_EH1_G_AH0_T_IH0_V|L_IH1_S_T
カバーオール	coverall	K_AH1_V_ER0_AO2_L
フォルアウト	fallout	F_AO1_L_AW2_T
ズィーブラ	zebra	Z_IY1_B_R_AH0
バイセクシャル	bisexual	B_AY2_S_EH1_K_SH_UW0_AH0_L
イデアリズム	idealism	AY0_D_IY1_L_IH0_Z_AH0_M
アイデアリズム	idealism	AY0_D_IY1_L_IH0_Z_AH0_M
エコロジー	ecology	IH0_K_AA1_L_AH0_JH_IY0
パブリッシャー	publisher	P_AH1_B_L_IH0_SH_ER0
ユーザアカウント	user|account	Y_UW1_Z_ER0|AH0_K_AW1_N_T
ツルー	TRUE	T_R_UW1
トルー	TRUE	T_R_UW1
マクロウィルス	macro|virus	M_AE1_K_R_OW0|V_AY1_R_AH0_S
ハイウエー	highway	HH_AY1_W_EY2
ハイウェー	highway	HH_AY1_W_EY2
ハイウエイ	highway	HH_AY1_W_EY2
サゼッション	suggestion	S_AH0_JH_EH1_S_CH_AH0_N
ホワイト	white	W_AY1_T
オンブズマン	ombudsman	AA1_M_B_AH0_D_Z_M_AH0_N
ストリートファーニチャー	street|furniture	S_T_R_IY1_T|F_ER1_N_IH0_CH_ER0
ベクターグラフィックス	vector|graphics	V_EH1_K_T_ER0|G_R_AE1_F_IH0_K_S
リプレー	replay	R_IY0_P_L_EY1
プロファイル	profile	P_R_OW1_F_AY2_L
プロフィル	profile	P_R_OW1_F_AY2_L
コークスクリュー	corkscrew	K_AO1_R_K_S_K_R_UW2
カヴァー	cover	K_AH1_V_ER0
プライオリティー	priority	P_R_AY0_AO1_R_AH0_T_IY0
テイクアウト	take|out	T_EY1_K|AW1_T
トランシット	transit	T_R_AE1_N_Z_IH0_T
メインディッシュ	main|dish	M_EY1_N|D_IH1_SH
ホットウオー	hot|war	HH_AA1_T|W_AO1_R
アクチュエータ	actuator	AE1_K_T_Y_UW0_EY2_T_ER0
アクチュエーター	actuator	AE1_K_T_Y_UW0_EY2_T_ER0
アクチュエター	actuator	AE1_K_T_Y_UW0_EY2_T_ER0
セイレーン	siren	S_AY1_R_AH0_N
セイレン	siren	S_AY1_R_AH0_N
バーニャ	banya	B_AA1_N_Y_AH0
グッドアイデア	good|idea	G_UH1_D|AY0_D_IY1_AH0
ティンパニ	timpani	T_IH1_M_P_AH0_N_IY2
マッサージ	massage	M_AH0_S_AA1_ZH
エキシマ	excimer	EH2_K_S_IH1_M_ER0
キャフェ	cafe	K_AH0_F_EY1
カフェ	cafe	K_AH0_F_EY1
カフェー	cafe	K_AH0_F_EY1
カッフェ	cafe	K_AH0_F_EY1
シェーピング	shaping	SH_EY1_P_IH0_NG
エティモロジー	etymology	EH2_T_AH0_M_AA1_L_AH0_JH_IY0
ダイアネティックス	dianetics	D_AY2_AH0_N_EH1_T_IH0_K_S
ダイヤフラム	diaphragm	D_AY1_AH0_F_R_AE2_M
ベジタリアン	vegetarian	V_EH2_JH_AH0_T_EH1_R_IY2_AH0_N
ウェイスト	waist	W_EY1_S_T
ウェスト	waist	W_EY1_S_T
ミキサ	mixer	M_IH1_K_S_ER0
ミキサー	mixer	M_IH1_K_S_ER0
バーチュー	virtue	V_ER1_CH_UW0
ヴァーチュー	virtue	V_ER1_CH_UW0
ヴァーチュ	virtue	V_ER1_CH_UW0
キャスケット	casket	K_AE1_S_K_AH0_T
ジンス	jeans	JH_IY1_N_Z
ナノメーター	nanometer	N_AE1_N_OW0_M_IY2_T_ER0
ナノメータ	nanometer	N_AE1_N_OW0_M_IY2_T_ER0
プロデュサー	producer	P_R_AH0_D_UW1_S_ER0
プロデューサー	producer	P_R_AH0_D_UW1_S_ER0
ニューエージ	new|age	N_UW1|EY1_JH
ファイアー	fire	F_AY1_ER0
ファイア	fire	F_AY1_ER0
ファイヤー	fire	F_AY1_ER0
キス	kiss	K_IH1_S
ウエディングベル	wedding|bell	W_EH1_D_IH0_NG|B_EH1_L
フェース	faith	F_EY1_TH
ポリープ	polyp	P_AA1_L_IH0_P
ハイブラウ	highbrow	HH_AY1_B_R_AW2
イノベイター	innovator	IH1_N_AH0_V_EY2_T_ER0
イノヴェイター	innovator	IH1_N_AH0_V_EY2_T_ER0
イルミネーション	illumination	IH2_L_UW2_M_AH0_N_EY1_SH_AH0_N
カーマイン	carmine	K_AA1_R_M_AY2_N
カルミン	carmine	K_AA1_R_M_AY2_N
シャルトルーズ	chartreuse	SH_AA0_R_T_R_UW1_Z
アレイ	alley	AE1_L_IY0
フリーマーケット	flea|market	F_L_IY1|M_AA1_R_K_AH0_T
センサ	sensor	S_EH1_N_S_ER0
フェイストゥフェイス	face-to-face	F_EY1_S_T_UW0_F_EY1_S
フェーストゥフェース	face-to-face	F_EY1_S_T_UW0_F_EY1_S
フェースツーフェース	face-to-face	F_EY1_S_T_UW0_F_EY1_S
ウォッチング	watching	W_AA1_CH_IH0_NG
